datetime,Depth_meter,Water_Temperature_celsius
2020-06-30,1,23.5916666666667
2020-07-01,1,24.4
2020-07-02,1,25.0041666666667
2020-07-03,1,26.8833333333333
2020-07-04,1,27.8041666666667
2020-07-05,1,28.7708333333333
2020-07-06,1,29.5458333333333
2020-07-07,1,29.6125
2020-07-08,1,28.2833333333333
2020-07-09,1,28.3583333333333
2020-07-10,1,27.3541666666667
2020-07-11,1,26.8
2020-07-12,1,26.725
2020-07-13,1,26.8041666666667
2020-07-14,1,26.25
2020-07-15,1,25.7708333333333
2020-07-16,1,25.4791666666667
2020-07-17,1,26.1375
2020-07-18,1,25.825
2020-07-19,1,26.0458333333333
2020-07-20,1,26.1208333333333
2020-07-21,1,26.0291666666667
2020-07-22,1,25.75
2020-07-23,1,25.6375
2020-07-24,1,26.0791666666667
2020-07-25,1,26.2833333333333
2020-07-26,1,26.4125
2020-07-27,1,26.7041666666667
2020-07-28,1,26.3875
2020-07-29,1,26.35
2020-07-30,1,26.8041666666667
2020-07-31,1,25.825
2020-08-01,1,25.8583333333333
2020-08-02,1,25.7958333333333
2020-08-03,1,24.8625
2020-08-04,1,24.1083333333333
2020-08-05,1,23.9
2020-08-06,1,24.025
2020-08-07,1,23.9208333333333
2020-08-08,1,24.0083333333333
2020-08-09,1,24.5166666666667
2020-08-10,1,24.3333333333333
2020-08-11,1,24.5166666666667
2020-08-12,1,25.5375
2020-08-13,1,24.5791666666667
2020-08-14,1,24.7625
2020-08-15,1,24.7041666666667
2020-08-16,1,24.6583333333333
2020-08-17,1,24.7875
2020-08-18,1,24.8416666666667
2020-08-19,1,25.0041666666667
2020-08-20,1,24.7541666666667
2020-08-21,1,24.6375
2020-08-22,1,24.7458333333333
2020-08-23,1,24.725
2020-08-24,1,26.0416666666667
2020-08-25,1,26.1083333333333
2020-08-26,1,25.7857142857143
2020-08-27,1,25.8333333333333
2020-08-28,1,25.8375
2020-08-29,1,25.4
2020-08-30,1,25.0041666666667
2020-08-31,1,24.1666666666667
2020-09-01,1,23.7125
2020-09-02,1,23.4583333333333
2020-09-03,1,23.1791666666667
2020-09-04,1,22.6625
2020-09-05,1,22.4875
2020-09-06,1,22.1416666666667
2020-09-07,1,21.7
2020-09-08,1,21.0375
2020-09-09,1,20.1166666666667
2020-09-10,1,19.1625
2020-09-11,1,18.7333333333333
2020-09-12,1,18.4958333333333
2020-09-13,1,18.6041666666667
2020-09-14,1,18.9958333333333
2020-09-15,1,18.625
2020-09-16,1,18.9125
2020-09-17,1,19.0416666666667
2020-09-18,1,18.7541666666667
2020-09-19,1,18.4875
2020-09-20,1,18.2041666666667
2020-09-21,1,18.0708333333333
2020-09-22,1,18.2666666666667
2020-09-23,1,19.0291666666667
2020-09-24,1,18.7333333333333
2020-09-25,1,18.3625
2020-09-26,1,18.5125
2020-09-27,1,18.7958333333333
2020-09-28,1,18.425
2020-09-29,1,17.8458333333333
2020-09-30,1,17.4625
2020-10-01,1,16.9375
2020-10-02,1,16.5666666666667
2020-10-03,1,16.2125
2020-10-04,1,15.8541666666667
2020-10-05,1,15.525
2020-10-06,1,15.3041666666667
2020-10-07,1,15.2916666666667
2020-10-08,1,15.5
2020-10-09,1,15.3458333333333
2020-10-10,1,15.5041666666667
2020-10-11,1,15.2958333333333
2020-10-12,1,15.1708333333333
2020-10-13,1,14.9041666666667
2020-10-14,1,14.7625
2020-10-15,1,14.4333333333333
2020-10-16,1,14.0666666666667
2020-10-17,1,13.5791666666667
2020-10-18,1,13.3416666666667
2020-10-19,1,13.025
2020-10-20,1,12.5791666666667
2020-10-21,1,12.5125
2020-10-22,1,12.4083333333333
2020-10-23,1,12.1041666666667
2020-10-24,1,11.7916666666667
2020-10-25,1,11.425
2020-10-26,1,11.0375
2020-10-27,1,10.9083333333333
2020-10-28,1,10.525
2020-10-29,1,10.2375
2020-10-30,1,10.0041666666667
2020-10-31,1,9.83333333333333
2020-11-01,1,9.6125
2020-11-02,1,9.1125
2020-11-03,1,9.0375
2020-11-04,1,9.20416666666667
2020-11-05,1,9.3875
2020-11-06,1,9.72916666666667
2020-11-07,1,9.60416666666667
2020-11-08,1,9.68333333333333
2020-11-09,1,9.97916666666667
2020-11-10,1,10.0958333333333
2020-11-11,1,9.95833333333333
2020-11-12,1,9.80833333333333
2020-11-13,1,9.60833333333333
2020-11-14,1,9.2375
2020-11-15,1,9.06666666666667
2020-11-16,1,8.60833333333333
2020-11-17,1,8.2375
2020-11-18,1,8.01666666666667
2020-11-19,1,7.9125
2020-11-20,1,7.80833333333333
2020-11-21,1,7.77333333333333
2020-04-03,1.5,4.175
2020-04-04,1.5,4.37916666666667
2020-04-05,1.5,5.025
2020-04-06,1.5,5.375
2020-04-07,1.5,5.32916666666667
2020-04-08,1.5,5.29166666666667
2020-04-09,1.5,5.43333333333333
2020-04-10,1.5,5.5625
2020-04-11,1.5,5.85
2020-04-12,1.5,5.9875
2020-04-13,1.5,5.78333333333333
2020-04-14,1.5,5.60416666666667
2020-04-15,1.5,5.5125
2020-04-16,1.5,5.575
2020-04-17,1.5,5.67083333333333
2020-04-18,1.5,5.70416666666667
2020-04-19,1.5,6.32916666666667
2020-04-20,1.5,6.54583333333333
2020-04-21,1.5,6.5375
2020-04-22,1.5,6.8125
2020-04-23,1.5,6.92083333333333
2020-04-24,1.5,7.04166666666667
2020-04-25,1.5,7.22083333333333
2020-04-26,1.5,7.35416666666667
2020-04-27,1.5,7.75833333333333
2020-04-28,1.5,7.60833333333333
2020-04-29,1.5,7.74166666666667
2020-04-30,1.5,7.6625
2020-05-01,1.5,8.6875
2020-05-02,1.5,8.8
2020-05-03,1.5,9.60833333333333
2020-05-04,1.5,9.89583333333333
2020-05-05,1.5,9.70416666666667
2020-05-06,1.5,9.75
2020-05-07,1.5,10.0958333333333
2020-05-08,1.5,10.2166666666667
2020-05-09,1.5,10.2208333333333
2020-05-10,1.5,10.0375
2020-05-11,1.5,9.91666666666667
2020-05-12,1.5,10.075
2020-05-13,1.5,10.35
2020-05-14,1.5,10.2583333333333
2020-05-15,1.5,11.4791666666667
2020-05-16,1.5,12.3291666666667
2020-05-17,1.5,10.5541666666667
2020-05-18,1.5,10.7208333333333
2020-05-19,1.5,11.725
2020-05-20,1.5,11.8916666666667
2020-05-21,1.5,12.4125
2020-05-22,1.5,13.4166666666667
2020-05-23,1.5,13.525
2020-05-24,1.5,13.5541666666667
2020-05-25,1.5,15.6916666666667
2020-05-26,1.5,16.5291666666667
2020-05-27,1.5,16.9583333333333
2020-05-28,1.5,18.6291666666667
2020-05-29,1.5,19.2291666666667
2020-05-30,1.5,18.6583333333333
2020-05-31,1.5,18.4166666666667
2020-06-01,1.5,17.825
2020-06-02,1.5,18.3291666666667
2020-06-03,1.5,19.375
2020-06-04,1.5,20.5291666666667
2020-06-05,1.5,22.1125
2020-06-06,1.5,22.4291666666667
2020-06-07,1.5,21.2583333333333
2020-06-08,1.5,21.1458333333333
2020-06-09,1.5,21.6125
2020-06-10,1.5,20.5666666666667
2020-06-11,1.5,19.7041666666667
2020-06-12,1.5,19.975
2020-06-13,1.5,19.8291666666667
2020-06-14,1.5,19.5083333333333
2020-06-15,1.5,19.5083333333333
2020-06-16,1.5,19.7041666666667
2020-06-17,1.5,20.6958333333333
2020-06-18,1.5,21.1375
2020-06-19,1.5,22.0166666666667
2020-06-20,1.5,23.0958333333333
2020-06-21,1.5,23.1
2020-06-22,1.5,23.2833333333333
2020-06-23,1.5,22.8416666666667
2020-06-24,1.5,22.5583333333333
2020-06-25,1.5,22.5583333333333
2020-06-26,1.5,23.075
2020-06-27,1.5,22.7916666666667
2020-06-28,1.5,23.8208333333333
2020-06-29,1.5,23.4875
2020-06-30,1.5,23.4416666666667
2020-07-01,1.5,24.2541666666667
2020-07-02,1.5,24.725
2020-07-03,1.5,25.9833333333333
2020-07-04,1.5,27.05
2020-07-05,1.5,28.2791666666667
2020-07-06,1.5,29.4333333333333
2020-07-07,1.5,29.4958333333333
2020-07-08,1.5,27.8375
2020-07-09,1.5,28.2333333333333
2020-07-10,1.5,27.2833333333333
2020-07-11,1.5,26.6291666666667
2020-07-12,1.5,26.6458333333333
2020-07-13,1.5,26.6125
2020-07-14,1.5,26.175
2020-07-15,1.5,25.7
2020-07-16,1.5,25.2333333333333
2020-07-17,1.5,25.875
2020-07-18,1.5,25.7541666666667
2020-07-19,1.5,25.975
2020-07-20,1.5,25.9666666666667
2020-07-21,1.5,25.9458333333333
2020-07-22,1.5,25.6541666666667
2020-07-23,1.5,25.4625
2020-07-24,1.5,25.6625
2020-07-25,1.5,26.1041666666667
2020-07-26,1.5,26.325
2020-07-27,1.5,26.6166666666667
2020-07-28,1.5,26.2958333333333
2020-07-29,1.5,26.0625
2020-07-30,1.5,26.4916666666667
2020-07-31,1.5,25.7125
2020-08-01,1.5,25.6791666666667
2020-08-02,1.5,25.725
2020-08-03,1.5,24.7916666666667
2020-08-04,1.5,24.025
2020-08-05,1.5,23.8125
2020-08-06,1.5,23.825
2020-08-07,1.5,23.8166666666667
2020-08-08,1.5,23.8875
2020-08-09,1.5,24.425
2020-08-10,1.5,24.2333333333333
2020-08-11,1.5,24.2708333333333
2020-08-12,1.5,25.175
2020-08-13,1.5,24.4
2020-08-14,1.5,24.5541666666667
2020-08-15,1.5,24.5875
2020-08-16,1.5,24.5541666666667
2020-08-17,1.5,24.6458333333333
