"Depth_Target","DateTime_Start","DateTime_End","Depthm","TempC","SpConduScm","ChlorophyllRFU","ChlorophyllugL","BGAPCRFU","BGAPCugL","TurbidityFNU","fDOMRFU","fDOMQSU","ODOsat","ODOmgL","pH","Presspsia","NITRATE_UM","NITRATE_MG","ABS_254","ABS_350","T_INT","T_SPEC","T_LAMP","NITRATE_UM_corrected","sampledate","NITRATE_uM_corrected","Dataset"
2,"2017-11-03 15:43:00","2017-11-03 15:44:00",2.01098333333333,11.4213666666667,545.833333333333,0.289333333333333,1.24116666666667,0.546166666666667,0.55,1.164,13.3673333333333,38.3651666666667,74.4566666666667,8.11783333333333,7.96,2.85951666666667,11.7933333333333,0.166666666666667,0.11,0.03,17.1,18.4,17.45,11.7933333333333,2017-11-03,11.7933333333333,"Quinn"
3,"2017-11-03 15:45:00","2017-11-03 15:46:00",3.02458333333333,11.41745,545.963333333333,0.279166666666667,1.20233333333333,0.527,0.530166666666667,1.066,13.3858333333333,38.4181666666667,74.2233333333333,8.09466666666667,7.95616666666667,4.30083333333333,11.7566666666667,0.16,0.11,0.03,16.9333333333333,18.0333333333333,17.2666666666667,11.7566666666667,2017-11-03,11.7566666666667,"Quinn"
4,"2017-11-03 15:47:00","2017-11-03 15:48:00",4.04848333333333,11.41135,545.963333333333,0.291,1.25,0.518333333333333,0.521,1.062,13.4318333333333,38.5513333333333,73.4416666666667,8.01016666666667,7.95,5.75675,11.765,0.163333333333333,0.11,0.03,16.9,17.7333333333333,17.2,11.765,2017-11-03,11.765,"Quinn"
5,"2017-11-03 15:49:00","2017-11-03 15:50:00",5.04278333333333,11.4126,545.936666666667,0.2675,1.15466666666667,0.520666666666667,0.523666666666667,1.12216666666667,13.4416666666667,38.5761666666667,73.2733333333333,7.99033333333333,7.95,7.17076666666667,11.7316666666667,0.161666666666667,0.11,0.03,16.8,17.4333333333333,17.1,11.7316666666667,2017-11-03,11.7316666666667,"Quinn"
6,"2017-11-03 15:51:00","2017-11-03 15:52:00",6.04785,11.4092833333333,546.006666666667,0.286833333333333,1.23083333333333,0.5205,0.523333333333333,1.06216666666667,13.4541666666667,38.6146666666667,73.0233333333333,7.963,7.946,8.59988333333333,11.7616666666667,0.163333333333333,0.11,0.03,16.8,17.2,17.1,11.7616666666667,2017-11-03,11.7616666666667,"Quinn"
7,"2017-11-03 15:53:00","2017-11-03 15:54:00",7.0615,11.4005833333333,546.1,0.306333333333333,1.3105,0.5065,0.509,1.03866666666667,13.4801666666667,38.6885,72.4283333333333,7.90133333333333,7.94,10.0411833333333,11.7916666666667,0.166666666666667,0.11,0.03,16.7,17,17.1,11.7916666666667,2017-11-03,11.7916666666667,"Quinn"
8,"2017-11-03 15:55:00","2017-11-03 15:56:00",8.07025,11.3928666666667,546.201666666667,0.300833333333333,1.28966666666667,0.503833333333333,0.506833333333333,1.08483333333333,13.489,38.711,72.0833333333333,7.8645,7.93516666666667,11.4757333333333,11.8216666666667,0.17,0.111666666666667,0.03,16.6166666666667,16.85,17.1,11.8216666666667,2017-11-03,11.8216666666667,"Quinn"
9,"2017-11-03 15:57:00","2017-11-03 15:58:00",9.08366666666667,11.3779333333333,546.346666666667,0.293166666666667,1.25866666666667,0.536666666666667,0.540666666666667,1.12566666666667,13.521,38.808,71.295,7.78166666666667,7.92133333333333,12.9168,11.858,0.17,0.11,0.03,16.6,16.66,17.1,11.858,2017-11-03,11.858,"Quinn"
10,"2017-11-03 15:59:00","2017-11-03 16:00:00",10.0217,11.36965,546.531666666667,0.326666666666667,1.39366666666667,0.5315,0.534833333333333,1.08966666666667,13.5286666666667,38.8281666666667,70.6,7.71,7.92,14.2506666666667,11.884,0.17,0.11,0.03,16.58,16.54,17.1,11.884,2017-11-03,11.884,"Quinn"
11,"2017-11-03 16:01:00","2017-11-03 16:02:00",11.0964,11.36745,546.531666666667,0.335666666666667,1.43116666666667,0.529,0.532333333333333,1.03266666666667,13.5335,38.8408333333333,70.6,7.71,7.92,15.77895,11.88,0.17,0.11,0.03,16.5,16.4,17.1,11.88,2017-11-03,11.88,"Quinn"
