!datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Surface_Level_Barometric_Pressure_pascal	Air_Temperature_celsius	Relative_Humidity_percent	Cloud_Cover_decimalFraction	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerSecond
2020-01-10 23:00:00	7.4707162	0	98562.844	-3.7900146	92.598645	0.92109234	0	6.3155558e-10
2020-01-11 00:00:00	7.3214889	0	98488	-4.1799988	92.283764	0.922462	0	3.2333334e-10
2020-01-11 01:00:00	7.72259	0	98407.742	-4.4499878	92.177687	0.92383166	0	4.4222222e-11
2020-01-11 02:00:00	8.1300001	0	98328.219	-4.7200073	92.02192	0.92520131	0	0
2020-01-11 03:00:00	8.5423416	0	98248.5	-5.0000061	91.908535	0.92657097	0	0
2020-01-11 04:00:00	8.6604675	0	98249.578	-5.169989	90.651647	0.92794063	0	0
2020-01-11 05:00:00	8.7886572	0	98250.656	-5.3299927	89.299475	0.92931028	0	0
2020-01-11 06:00:00	8.9259393	0	98251.742	-5.5000061	87.953596	0.93067994	0	0
2020-01-11 07:00:00	8.7175454	0	98239.438	-5.4700073	88.216463	0.9320496	0	0
2020-01-11 08:00:00	8.5243945	0	98226.602	-5.4400085	88.465574	0.93341926	23.823999	0
2020-01-11 09:00:00	8.3447531	0	98213.656	-5.4100098	88.709085	0.93478891	71.264	0
2020-01-11 10:00:00	8.3311585	0	98283.32	-5.0900024	88.723425	1	108.144	0
2020-01-11 11:00:00	8.3392148	0	98353.523	-4.7599854	88.635077	1	138.29601	0
2020-01-11 12:00:00	8.3547592	0	98422.977	-4.4400085	88.55442	1	134.787	0
2020-01-11 13:00:00	8.0446317	0	98409.297	-4.5099854	87.656565	1	123.9	0
2020-01-11 14:00:00	7.7362069	0	98395.078	-4.5799927	86.750686	1	104.833	0
2020-01-11 15:00:00	7.4372039	0	98381.398	-4.6399902	85.7689	1	65.487999	0
2020-01-11 16:00:00	7.3447259	0	98378.602	-4.8200134	86.027414	1	26.912001	5.7044446e-10
2020-01-11 17:00:00	7.2611296	0	98375.797	-5.0000061	86.297136	0.96390729	0	7.6222221e-11
2020-01-11 18:00:00	7.1867237	0	98373	-5.169989	86.494063	0.92781459	0	3.7777778e-12
2020-01-11 19:00:00	7.1599509	0	98396.562	-5.4	85.650302	0.89172188	0	0
2020-01-11 20:00:00	7.1491326	0	98420.656	-5.6200012	84.695129	0.85562917	0	0
2020-01-11 21:00:00	7.1497275	0	98444.656	-5.8500122	83.760458	0.81953647	0	0
2020-01-11 22:00:00	6.3059657	0	98531.641	-6.1900085	84.097669	0.78344376	0	0
2020-01-11 23:00:00	5.4899272	0	98619.156	-6.5400146	84.471024	0.74735105	0	0
